url_path,views_total,views_unique
/timmalich/edukiz,34,10
/timmalich/edukiz/tree/main/src,17,3
/timmalich/edukiz/blob/main/src/components/drag_drop/DDBuildWordsGame.vue,16,2
/timmalich/edukiz/tree/main/public,13,1
/timmalich/edukiz/tree/main/.github/workflows,8,1
/timmalich/edukiz/tree/main/original_svg_images_which_are_to_huge,8,1
/timmalich/edukiz/blob/main/package.json,7,2
/timmalich/edukiz/blob/main/src/App.vue,7,2
/timmalich/edukiz/tree/main/public/img/characters,7,1
/timmalich/edukiz/tree/main/public/img,6,1
