time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-04 00:00:00+00:00,9,4,13,2
2026-07-05 00:00:00+00:00,10,4,7,5
2026-07-06 00:00:00+00:00,16,6,9,8
2026-07-07 00:00:00+00:00,4,3,3,3
2026-07-08 00:00:00+00:00,3,2,4,4
2026-07-09 00:00:00+00:00,2,2,2,2
2026-07-10 00:00:00+00:00,3,3,0,0
2026-07-11 00:00:00+00:00,40,12,1,1
2026-07-12 00:00:00+00:00,15,6,2,2
2026-07-13 00:00:00+00:00,16,7,5,4
2026-07-14 00:00:00+00:00,8,3,2,2
2026-07-15 00:00:00+00:00,1,1,0,0
2026-07-16 00:00:00+00:00,17,8,0,0
2026-07-17 00:00:00+00:00,18,7,1,1
