time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-05 00:00:00+00:00,5,2,4,3
2025-02-06 00:00:00+00:00,5,2,1,1
2025-02-07 00:00:00+00:00,1,1,1,1
2025-02-08 00:00:00+00:00,5,2,4,4
2025-02-09 00:00:00+00:00,5,2,6,4
2025-02-10 00:00:00+00:00,4,2,1,1
2025-02-11 00:00:00+00:00,1,1,4,2
2025-02-12 00:00:00+00:00,5,2,2,2
2025-02-13 00:00:00+00:00,4,2,3,2
2025-02-14 00:00:00+00:00,1,1,5,4
2025-02-15 00:00:00+00:00,4,2,2,2
2025-02-16 00:00:00+00:00,6,3,4,4
2025-02-17 00:00:00+00:00,5,2,13,6
2025-02-18 00:00:00+00:00,1,1,5,4
