url_path,views_total,views_unique
/timmalich/edukiz,43,32
/timmalich/edukiz/tree/main/original_svg_images_which_are_to_huge,4,3
/timmalich/edukiz/blob/main/README.md,3,3
/timmalich/edukiz/blob/main/original_svg_images_which_are_to_huge/cat1.svg,2,2
/timmalich/edukiz/blob/main/original_svg_images_which_are_to_huge/dragon4.svg,2,2
/timmalich/edukiz/blob/main/package.json,2,2
/timmalich/edukiz/issues,2,2
/timmalich/edukiz/tree/main/public,2,2
/timmalich/edukiz/tree/main/tests,2,2
/timmalich/edukiz/blob/main/babel.config.js,1,1
