time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-03 00:00:00+00:00,1,1,1.0,1.0
2022-03-04 00:00:00+00:00,1,1,1.0,1.0
2022-03-05 00:00:00+00:00,2,2,5.0,2.0
2022-03-06 00:00:00+00:00,2,2,,
2022-03-07 00:00:00+00:00,1,1,,
2022-03-08 00:00:00+00:00,7,2,4.0,2.0
2022-03-09 00:00:00+00:00,1,1,,
2022-03-10 00:00:00+00:00,1,1,,
2022-03-11 00:00:00+00:00,1,1,6.0,1.0
2022-03-12 00:00:00+00:00,1,1,,
2022-03-13 00:00:00+00:00,3,3,,
2022-03-14 00:00:00+00:00,1,1,,
2022-03-15 00:00:00+00:00,4,2,1.0,1.0
